
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Matt Ryan	Atl	NO	43	31	448	3	0	0	3	15	0	0	0	0	0	0	0	0	36
Matthew Stafford	Det	NYG	32	22	346	2	0	1	4	2	1	0	0	0	0	0	0	0	33
Andrew Luck	Ind	@Den	53	35	370	2	2	0	5	19	1	0	0	0	0	0	0	0	29
Peyton Manning	Den	Ind	36	22	269	3	0	0	4	-3	0	0	0	0	0	0	0	0	28
Carson Palmer	Ari	SD	37	24	304	2	0	0	4	29	0	0	0	0	0	0	1	0	25
Jake Locker	Ten	@KC	33	22	266	2	0	0	6	14	0	0	0	0	0	0	0	0	23
Derek Anderson	Car	@TB	34	24	230	2	0	0	3	10	0	0	0	0	0	0	0	0	22
Russell Wilson	Sea	GB	28	19	191	2	0	0	7	29	0	0	0	0	0	0	0	0	21
Colin Kaepernick	SF	@Dal	23	16	201	2	0	0	5	11	0	0	0	0	0	0	0	0	21
Chad Henne	Jac	@Phi	43	24	266	2	0	0	1	8	0	0	0	0	0	0	1	0	21
Jay Cutler	Chi	Buf	49	34	349	2	2	0	0	0	0	0	0	0	0	0	0	0	21
Nick Foles	Phi	Jac	45	27	322	2	1	0	0	0	0	0	0	0	0	0	2	0	20
Andy Dalton	Cin	@Bal	38	25	301	1	0	1	6	3	0	0	0	0	0	0	0	0	20
Ben Roethlisberger	Pit	Cle	34	23	365	1	1	0	3	8	0	0	0	0	0	0	0	0	18
Matt Cassel	Min	@Stl	25	17	170	2	0	0	5	-3	0	0	0	0	0	0	0	0	18
Derek Carr	Oak	@NYJ	32	20	151	2	0	0	1	-1	0	0	0	0	0	0	0	0	18
Ryan Tannehill	Mia	NE	32	18	178	2	1	0	3	-2	0	0	0	0	0	0	0	0	17
Josh McCown	TB	Car	35	22	183	2	2	0	3	27	0	0	0	0	0	0	0	0	17
E.J. Manuel	Buf	@Chi	22	16	173	1	1	0	6	19	1	0	0	0	0	0	0	0	17
Joe Flacco	Bal	Cin	62	35	345	1	1	0	3	7	0	0	0	0	0	0	0	0	17
Drew Brees	NO	@Atl	42	29	333	1	1	0	1	2	0	0	0	0	0	0	0	0	17
Ryan Fitzpatrick	Hou	Was	22	14	206	1	0	0	5	10	0	0	0	0	0	0	0	0	15
Geno Smith	NYJ	Oak	28	23	221	1	1	0	10	38	0	0	0	0	0	0	1	0	14
Philip Rivers	SD	@Ari	36	21	238	1	1	0	2	10	0	0	0	0	0	0	0	0	14
Brian Hoyer	Cle	@Pit	30	18	222	1	0	0	1	-2	0	0	0	0	0	0	0	0	14
Tom Brady	NE	@Mia	56	29	249	1	0	0	1	3	0	0	0	0	0	0	2	0	13
Alex Smith	KC	Ten	35	19	202	1	3	0	6	36	0	0	0	0	0	0	0	0	11
Tony Romo	Dal	SF	37	23	281	1	3	0	0	0	0	0	0	0	0	0	0	0	11
Aaron Rodgers	GB	@Sea	33	23	189	1	1	0	0	0	0	0	0	0	0	0	0	0	11
Robert Griffin III	Was	@Hou	37	29	267	0	0	0	3	2	0	0	0	0	0	0	1	0	9
Eli Manning	NYG	@Det	33	18	163	1	2	0	0	0	0	0	0	0	0	0	0	0	8
Austin Davis	Stl	Min	23	16	192	0	1	0	1	0	0	0	0	0	0	0	0	0	5
Shaun Hill	Stl	Min	13	8	81	0	1	0	1	-1	0	0	0	0	0	0	0	0	1
