
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Marshawn Lynch	Sea	NYG	0	0	0	0	0	0	21	140	4	0	1	23	0	0	0	0	40
Justin Forsett	Bal	Ten	0	0	0	0	0	0	20	112	2	0	0	0	0	0	0	0	23
C.J. Anderson	Den	@Oak	0	0	0	0	0	0	13	90	0	0	4	73	1	0	0	0	22
Eddie Lacy	GB	Chi	0	0	0	0	0	0	14	50	0	0	3	68	1	0	0	0	17
Jamaal Charles	KC	@Buf	0	0	0	0	0	0	15	98	1	0	3	20	0	0	0	0	17
Terrance West	Cle	@Cin	0	0	0	0	0	0	26	94	1	0	0	0	0	0	0	0	15
Steven Jackson	Atl	@TB	0	0	0	0	0	0	16	81	1	0	2	14	0	0	0	0	15
Frank Gore	SF	@NO	0	0	0	0	0	0	23	81	1	0	1	2	0	0	0	0	14
DeMarco Murray	Dal	@Jac	0	0	0	0	0	0	19	100	0	0	6	31	0	0	0	0	13
Mark Ingram	NO	SF	0	0	0	0	0	0	27	120	0	0	3	19	0	0	0	0	13
Ben Tate	Cle	@Cin	0	0	0	0	0	0	10	34	1	0	2	27	0	0	0	0	11
Jonathan Stewart	Car	@Phi	0	0	0	0	0	0	11	36	1	0	4	23	0	0	0	0	11
Joseph Randle	Dal	@Jac	0	0	0	0	0	0	7	56	1	0	0	0	0	0	0	0	11
Isaiah Crowell	Cle	@Cin	0	0	0	0	0	0	12	41	1	0	0	0	0	0	0	0	10
Andre Williams	NYG	@Sea	0	0	0	0	0	0	13	33	1	0	2	5	0	0	0	0	9
Carlos Hyde	SF	@NO	0	0	0	0	0	0	4	36	1	0	0	0	0	0	0	0	9
Andre Ellington	Ari	Stl	0	0	0	0	0	0	18	23	1	0	5	19	0	0	0	0	9
Benny Cunningham	Stl	@Ari	0	0	0	0	0	0	4	12	1	0	2	16	0	0	0	0	8
Bryce Brown	Buf	KC	0	0	0	0	0	0	7	35	0	0	6	65	0	0	1	0	8
Leon Washington	Ten	@Bal	0	0	0	0	0	0	1	3	0	0	2	12	1	0	0	0	7
Darren Sproles	Phi	Car	0	0	0	0	0	0	1	8	1	0	1	13	0	0	0	0	7
Christine Michael	Sea	NYG	0	0	0	0	0	0	4	71	0	0	0	0	0	0	0	0	7
LeSean McCoy	Phi	Car	0	0	0	0	0	0	12	19	1	0	1	-2	0	0	0	0	7
Tre Mason	Stl	@Ari	0	0	0	0	0	0	14	48	0	0	4	33	0	0	0	0	7
Matt Forte	Chi	@GB	0	0	0	0	0	0	17	54	0	0	3	27	0	0	0	0	7
Joique Bell	Det	Mia	0	0	0	0	0	0	10	44	0	0	2	37	0	0	0	0	7
Bishop Sankey	Ten	@Bal	0	0	0	0	0	0	16	55	0	0	3	19	0	0	0	0	6
Theo Riddick	Det	Mia	0	0	0	0	0	0	3	0	0	0	2	5	1	0	0	0	6
Anthony Dixon	Buf	KC	0	0	0	0	0	0	9	62	0	0	0	0	0	0	0	0	6
Le'Veon Bell	Pit	@NYJ	0	0	0	0	0	0	11	36	0	0	8	33	0	0	0	0	6
Damien Williams	Mia	@Det	0	0	0	0	0	0	7	34	0	0	3	27	0	0	0	0	5
Bobby Rainey	TB	Atl	0	0	0	0	0	0	6	14	0	0	4	42	0	0	0	0	5
Chris Ivory	NYJ	Pit	0	0	0	0	0	0	14	51	0	0	0	0	0	0	0	0	5
DuJuan Harris	GB	Chi	0	0	0	0	0	0	8	52	0	0	0	0	0	0	0	0	5
Fred Jackson	Buf	KC	0	0	0	0	0	0	3	10	0	0	4	39	0	0	0	0	4
Jeremy Hill	Cin	Cle	0	0	0	0	0	0	12	55	0	0	1	6	0	0	1	0	4
DeAngelo Williams	Car	@Phi	0	0	0	0	0	0	13	31	0	0	3	17	0	0	1	0	3
Bernard Pierce	Bal	Ten	0	0	0	0	0	0	8	31	0	0	0	0	0	0	0	0	3
Darren McFadden	Oak	Den	0	0	0	0	0	0	7	14	0	0	4	22	0	0	0	0	3
Chris Johnson	NYJ	Pit	0	0	0	0	0	0	7	23	0	0	1	12	0	0	0	0	3
Fozzy Whittaker	Car	@Phi	0	0	0	0	0	0	6	29	0	0	2	7	0	0	0	0	2
Robert Turbin	Sea	NYG	0	0	0	0	0	0	6	32	0	0	0	0	0	0	1	0	2
Jordan Todman	Jac	Dal	0	0	0	0	0	0	2	6	0	0	3	27	0	0	0	0	2
Charles Sims	TB	Atl	0	0	0	0	0	0	8	23	0	0	2	17	0	0	1	0	2
John Kuhn	GB	Chi	0	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	2
Kyle Juszczyk	Bal	Ten	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	2
Ka'Deem Carey	Chi	@GB	0	0	0	0	0	0	2	13	0	0	1	11	0	0	0	0	2
Reggie Bush	Det	Mia	0	0	0	0	0	0	4	20	0	0	1	5	0	0	0	0	2
Lorenzo Taliaferro	Bal	Ten	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	1
James Starks	GB	Chi	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	1
Jacquizz Rodgers	Atl	@TB	0	0	0	0	0	0	1	1	0	0	2	11	0	0	0	0	1
Chris Polk	Phi	Car	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	1
Lamar Miller	Mia	@Det	0	0	0	0	0	0	4	10	0	0	1	-4	0	0	0	0	1
Maurice Jones-Drew	Oak	Den	0	0	0	0	0	0	3	10	0	0	1	7	0	0	0	0	1
