
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Jordy Nelson	GB	Chi	0	0	0	0	0	0	0	0	0	0	6	152	2	0	0	0	27
Dez Bryant	Dal	@Jac	0	0	0	0	0	0	0	0	0	0	6	158	2	0	0	0	27
Jordan Matthews	Phi	Car	0	0	0	0	0	0	0	0	0	0	7	138	2	0	0	0	25
Martavis Bryant	Pit	@NYJ	0	0	0	0	0	0	0	0	0	0	4	143	1	0	0	0	20
Kelvin Benjamin	Car	@Phi	0	0	0	0	0	0	0	0	0	0	3	70	2	0	0	0	19
Emmanuel Sanders	Den	@Oak	0	0	0	0	0	0	1	5	0	0	5	67	2	0	0	0	18
Denard Robinson	Jac	Dal	0	0	0	0	0	0	15	60	2	0	2	10	0	0	1	0	18
Mike Evans	TB	Atl	0	0	0	0	0	0	0	0	0	0	7	125	1	0	0	0	18
Brandon Marshall	Chi	@GB	0	0	0	0	0	0	0	0	0	0	8	112	1	0	0	0	17
Calvin Johnson	Det	Mia	0	0	0	0	0	0	0	0	0	0	7	113	1	0	0	0	17
Brandin Cooks	NO	SF	0	0	0	0	0	0	0	0	0	0	5	90	1	0	0	0	15
Anquan Boldin	SF	@NO	0	0	0	0	0	0	0	0	0	0	6	95	1	0	0	0	15
Roddy White	Atl	@TB	0	0	0	0	0	0	0	0	0	0	6	72	1	0	0	0	13
Torrey Smith	Bal	Ten	0	0	0	0	0	0	0	0	0	0	5	75	1	0	0	0	13
Preston Parker	NYG	@Sea	0	0	0	0	0	0	0	0	0	0	7	79	1	0	0	0	13
John Brown	Ari	Stl	0	0	0	0	0	0	0	0	0	0	5	73	1	0	0	0	13
T.J. Graham	NYJ	Pit	0	0	0	0	0	0	0	0	0	0	1	67	1	0	0	0	12
Randall Cobb	GB	Chi	0	0	0	0	0	0	0	0	0	0	4	72	1	0	1	0	12
Mike Wallace	Mia	@Det	0	0	0	0	0	0	0	0	0	0	5	51	1	0	0	0	11
Cecil Shorts	Jac	Dal	0	0	0	0	0	0	0	0	0	0	5	119	0	0	0	0	11
Julio Jones	Atl	@TB	0	0	0	0	0	0	0	0	0	0	8	119	0	0	0	0	11
Larry Fitzgerald	Ari	Stl	0	0	0	0	0	0	0	0	0	0	9	112	0	0	0	0	11
Odell Beckham	NYG	@Sea	0	0	0	0	0	0	1	11	0	0	7	108	0	0	0	0	11
Demaryius Thomas	Den	@Oak	0	0	0	0	0	0	0	0	0	0	11	108	0	0	0	0	10
Golden Tate	Det	Mia	0	0	0	0	0	0	0	0	0	0	11	109	0	0	0	0	10
Chris Hogan	Buf	KC	0	0	0	0	0	0	0	0	0	0	5	57	1	0	1	0	10
Dwayne Bowe	KC	@Buf	0	0	0	0	0	0	0	0	0	0	8	93	0	0	0	0	9
Allen Robinson	Jac	Dal	0	0	0	0	0	0	0	0	0	0	5	60	0	1	0	0	8
Jermaine Kearse	Sea	NYG	0	0	0	0	0	0	0	0	0	0	3	70	0	0	0	0	7
Vincent Jackson	TB	Atl	0	0	0	0	0	0	0	0	0	0	8	75	0	0	0	0	7
Brice Butler	Oak	Den	0	0	0	0	0	0	0	0	0	0	2	12	1	0	0	0	7
Alshon Jeffery	Chi	@GB	0	0	0	0	0	0	1	8	0	0	6	63	0	0	0	0	6
Michael Crabtree	SF	@NO	0	0	0	0	0	0	0	0	0	0	3	62	0	0	0	0	6
Kendall Wright	Ten	@Bal	0	0	0	0	0	0	1	1	0	0	4	53	0	0	0	0	5
Robert Woods	Buf	KC	0	0	0	0	0	0	0	0	0	0	6	52	0	0	0	0	5
Jarvis Landry	Mia	@Det	0	0	0	0	0	0	1	-8	0	0	7	53	0	0	0	0	5
Percy Harvin	NYJ	Pit	0	0	0	0	0	0	6	33	0	0	3	23	0	0	0	0	5
Antonio Brown	Pit	@NYJ	0	0	0	0	0	0	0	0	0	0	8	74	0	0	2	0	5
Markus Wheaton	Pit	@NYJ	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	4
Steve Johnson	SF	@NO	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	4
Travis Benjamin	Cle	@Cin	0	0	0	0	0	0	0	0	0	0	3	46	0	0	0	0	4
Miles Austin	Cle	@Cin	0	0	0	0	0	0	0	0	0	0	5	48	0	0	0	0	4
Nate Washington	Ten	@Bal	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	3
Rueben Randle	NYG	@Sea	0	0	0	0	0	0	0	0	0	0	5	39	0	0	0	0	3
Jeremy Maclin	Phi	Car	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0	3
