   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Mike Evans	TB	@Was	0	0	0	0	0	0	0	0	0	0	7	209	2	0	0	0	32
Brandon Marshall	Chi	Min	0	0	0	0	0	0	0	0	0	0	7	90	2	0	0	0	21
Alshon Jeffery	Chi	Min	0	0	0	0	0	0	0	0	0	0	11	135	1	0	0	0	19
A.J. Green	Cin	@NO	0	0	0	0	0	0	0	0	0	0	6	127	1	0	0	0	18
Kenny Britt	Stl	Den	0	0	0	0	0	0	0	0	0	0	4	128	1	0	0	0	18
Michael Floyd	Ari	Det	0	0	0	0	0	0	0	0	0	0	2	54	2	0	0	0	17
Emmanuel Sanders	Den	@Stl	0	0	0	0	0	0	0	0	0	0	5	102	1	0	0	0	16
Jordy Nelson	GB	Phi	0	0	0	0	0	0	0	0	0	0	4	109	1	0	0	0	16
Jordan Matthews	Phi	@GB	0	0	0	0	0	0	0	0	0	0	5	107	1	0	0	0	16
Kelvin Benjamin	Car	Atl	0	0	0	0	0	0	0	0	0	0	9	109	1	0	0	0	16
Jeremy Maclin	Phi	@GB	0	0	0	0	0	0	0	0	0	0	9	93	1	0	0	0	15
Andrew Hawkins	Cle	Hou	0	0	0	0	0	0	0	0	0	0	6	97	1	0	0	0	15
Antonio Brown	Pit	@Ten	0	0	0	0	0	0	0	0	0	0	9	91	1	0	0	0	15
Nate Washington	Ten	Pit	0	0	0	0	0	0	0	0	0	0	1	80	1	0	0	0	14
Michael Crabtree	SF	@NYG	0	0	0	0	0	0	0	0	0	0	3	85	1	0	0	0	14
Roddy White	Atl	@Car	0	0	0	0	0	0	0	0	0	0	8	75	1	0	0	0	13
Randall Cobb	GB	Phi	0	0	0	0	0	0	0	0	0	0	10	129	0	0	0	0	12
Rueben Randle	NYG	SF	0	0	0	0	0	0	0	0	0	0	7	112	0	0	0	0	11
Demaryius Thomas	Den	@Stl	0	0	0	0	0	0	0	0	0	0	7	103	0	0	0	0	10
Malcom Floyd	SD	Oak	0	0	0	0	0	0	0	0	0	0	4	44	1	0	0	0	10
Philly Brown	Car	Atl	0	0	0	0	0	0	0	0	0	0	1	47	1	0	0	0	10
Doug Baldwin	Sea	@KC	0	0	0	0	0	0	0	0	0	0	6	45	1	0	0	0	10
Reggie Wayne	Ind	NE	0	0	0	0	0	0	0	0	0	0	5	91	0	0	0	0	9
Kenny Stills	NO	Cin	0	0	0	0	0	0	0	0	0	0	4	32	1	0	0	0	9
Jarvis Landry	Mia	Buf	0	0	0	0	0	0	0	0	0	0	5	46	1	0	1	0	9
Taylor Gabriel	Cle	Hou	0	0	0	0	0	0	0	0	0	0	5	92	0	0	0	0	9
Odell Beckham	NYG	SF	0	0	0	0	0	0	0	0	0	0	6	93	0	0	0	0	9
Charles Johnson	Min	@Chi	0	0	0	0	0	0	0	0	0	0	6	87	0	0	0	0	8
DeAndre Hopkins	Hou	@Cle	0	0	0	0	0	0	0	0	0	0	4	80	0	0	0	0	8
Julian Edelman	NE	@Ind	0	0	0	0	0	0	2	31	0	0	5	50	0	0	0	0	8
Kendall Wright	Ten	Pit	0	0	0	0	0	0	0	0	0	0	4	70	0	0	0	0	7
Hakeem Nicks	Ind	NE	0	0	0	0	0	0	0	0	0	0	2	15	1	0	0	0	7
Chris Hogan	Buf	@Mia	0	0	0	0	0	0	0	0	0	0	7	74	0	0	0	0	7
Brandon Gibson	Mia	Buf	0	0	0	0	0	0	0	0	0	0	2	13	1	0	0	0	7
Davante Adams	GB	Phi	0	0	0	0	0	0	0	0	0	0	2	13	1	0	0	0	7
Tim Wright	NE	@Ind	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	6
Brandon LaFell	NE	@Ind	0	0	0	0	0	0	0	0	0	0	3	62	0	0	0	0	6
Andre Johnson	Hou	@Cle	0	0	0	0	0	0	0	0	0	0	7	68	0	0	0	0	6
John Brown	Ari	Det	0	0	0	0	0	0	0	0	0	0	5	69	0	0	0	0	6
Keenan Allen	SD	Oak	0	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	6
Jermaine Kearse	Sea	@KC	0	0	0	0	0	0	0	0	0	0	5	54	0	0	0	0	5
Julio Jones	Atl	@Car	0	0	0	0	0	0	0	0	0	0	6	59	0	0	0	0	5
Calvin Johnson	Det	@Ari	0	0	0	0	0	0	0	0	0	0	5	59	0	0	0	0	5
Brian Hartline	Mia	Buf	0	0	0	0	0	0	0	0	0	0	3	55	0	0	0	0	5
Brandin Cooks	NO	Cin	0	0	0	0	0	0	1	5	0	0	5	50	0	0	0	0	5
Marques Colston	NO	Cin	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	0	5
Anquan Boldin	SF	@NYG	0	0	0	0	0	0	0	0	0	0	5	53	0	0	0	0	5
Kenbrell Thompkins	Oak	@SD	0	0	0	0	0	0	0	0	0	0	2	47	0	0	0	0	4
Golden Tate	Det	@Ari	0	0	0	0	0	0	1	8	0	0	2	41	0	0	0	0	4
Vincent Jackson	TB	@Was	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	4
Justin Hunter	Ten	Pit	0	0	0	0	0	0	0	0	0	0	2	48	0	0	0	0	4
Harry Douglas	Atl	@Car	0	0	0	0	0	0	0	0	0	0	4	46	0	0	0	0	4
Jerricho Cotchery	Car	Atl	0	0	0	0	0	0	0	0	0	0	2	43	0	0	0	0	4
Sammy Watkins	Buf	@Mia	0	0	0	0	0	0	1	3	0	0	3	32	0	0	0	0	3
Mike Wallace	Mia	Buf	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	3
Eddie Royal	SD	Oak	0	0	0	0	0	0	1	15	0	0	2	27	0	0	0	0	3
James Jones	Oak	@SD	0	0	0	0	0	0	0	0	0	0	2	35	0	0	0	0	3
DeSean Jackson	Was	TB	0	0	0	0	0	0	1	2	0	0	4	35	0	0	0	0	3
Larry Fitzgerald	Ari	Det	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Riley Cooper	Phi	@GB	0	0	0	0	0	0	0	0	0	0	4	39	0	0	0	0	3
Andre Caldwell	Den	@Stl	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
