   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Justin Forsett	Bal	@NO	0	0	0	0	0	0	22	182	2	0	2	8	0	0	0	0	30
Eddie Lacy	GB	@Min	0	0	0	0	0	0	25	125	1	0	2	13	1	0	0	0	25
C.J. Anderson	Den	Mia	0	0	0	0	0	0	27	167	1	0	4	28	0	0	0	0	24
Latavius Murray	Oak	KC	0	0	0	0	0	0	4	112	2	0	0	0	0	0	0	0	23
Matt Forte	Chi	TB	0	0	0	0	0	0	23	89	2	0	5	23	0	0	0	0	22
Isaiah Crowell	Cle	@Atl	0	0	0	0	0	0	12	88	2	0	0	0	0	0	0	0	20
LeSean McCoy	Phi	Ten	0	0	0	0	0	0	21	130	1	0	1	1	0	0	0	0	19
LeGarrette Blount	NE	Det	0	0	0	0	0	0	12	78	2	0	0	0	0	0	0	0	19
Alfred Morris	Was	@SF	0	0	0	0	0	0	21	125	1	0	1	5	0	0	0	0	18
Jamaal Charles	KC	@Oak	0	0	0	0	0	0	19	80	0	0	4	42	1	0	0	0	18
Ryan Mathews	SD	Stl	0	0	0	0	0	0	12	105	1	0	2	8	0	0	0	0	16
DeMarco Murray	Dal	@NYG	0	0	0	0	0	0	24	121	0	0	2	22	0	0	0	0	14
Jeremy Hill	Cin	@Hou	0	0	0	0	0	0	18	87	1	0	1	9	0	0	0	0	14
Rashad Jennings	NYG	Dal	0	0	0	0	0	0	19	52	0	0	8	68	0	0	0	0	11
Anthony Dixon	Buf	NYJ	0	0	0	0	0	0	12	54	1	0	1	8	0	0	0	0	11
Andre Williams	NYG	Dal	0	0	0	0	0	0	10	35	1	0	1	12	0	0	0	0	10
Trent Richardson	Ind	Jac	0	0	0	0	0	0	13	42	1	0	0	0	0	0	0	0	10
Steven Jackson	Atl	Cle	0	0	0	0	0	0	13	34	1	0	2	17	0	0	0	0	10
Fred Jackson	Buf	NYJ	0	0	0	0	0	0	10	32	1	0	3	13	0	0	0	0	10
Daniel Thomas	Mia	@Den	0	0	0	0	0	0	3	19	1	1	0	0	0	0	0	0	9
Darren Sproles	Phi	Ten	0	0	0	0	0	0	6	25	1	0	3	14	0	0	0	0	9
Jacquizz Rodgers	Atl	Cle	0	0	0	0	0	0	3	16	0	0	3	11	1	0	0	0	8
