
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Julio Jones	Atl	@GB	0	0	0	0	0	0	0	0	0	0	11	259	1	0	0	0	31
A.J. Green	Cin	Pit	0	0	0	0	0	0	0	0	0	0	11	224	1	0	0	0	28
Jordy Nelson	GB	Atl	0	0	0	0	0	0	0	0	0	0	8	146	2	0	0	0	26
T.Y. Hilton	Ind	@Cle	0	0	0	0	0	0	0	0	0	0	10	150	2	0	1	0	26
Calvin Johnson	Det	TB	0	0	0	0	0	0	0	0	0	0	8	158	1	0	0	0	21
Jarius Wright	Min	NYJ	0	0	0	0	0	0	1	23	0	0	4	123	1	0	0	0	20
Julian Edelman	NE	@SD	0	0	0	0	0	0	1	4	0	0	8	141	1	0	0	0	20
Odell Beckham	NYG	@Ten	1	0	0	0	0	0	1	9	0	0	11	130	1	0	0	0	19
Percy Harvin	NYJ	@Min	0	0	0	0	0	0	2	3	0	0	6	124	1	0	0	0	18
Charles Johnson	Min	NYJ	0	0	0	0	0	0	0	0	0	0	4	103	1	0	0	0	16
Mike Evans	TB	@Det	0	0	0	0	0	0	0	0	0	0	4	45	2	0	0	0	16
Martavis Bryant	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	4	109	1	0	0	0	16
Cole Beasley	Dal	@Chi	0	0	0	0	0	0	0	0	0	0	3	42	2	0	0	0	16
Alshon Jeffery	Chi	Dal	0	0	0	0	0	0	0	0	0	0	6	95	1	0	0	0	15
Vincent Jackson	TB	@Det	0	0	0	0	0	0	0	0	0	0	10	159	0	0	0	0	15
Doug Baldwin	Sea	@Phi	0	0	0	0	0	0	0	0	0	0	5	97	1	0	0	0	15
Steve Smith	Bal	@Mia	0	0	0	0	0	0	0	0	0	0	7	70	1	0	0	0	13
Marcel Reece	Oak	SF	0	0	0	0	0	0	2	2	0	0	7	64	1	0	0	0	12
Kamar Aiken	Bal	@Mia	0	0	0	0	0	0	0	0	0	0	6	65	1	0	0	0	12
Sammy Watkins	Buf	@Den	0	0	0	0	0	0	0	0	0	0	7	127	0	0	1	0	11
Chris Hogan	Buf	@Den	0	0	0	0	0	0	0	0	0	0	7	54	1	0	0	0	11
Malcom Floyd	SD	NE	0	0	0	0	0	0	0	0	0	0	3	54	1	0	0	0	11
Antonio Brown	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	9	117	0	0	0	0	11
Roddy White	Atl	@GB	0	0	0	0	0	0	0	0	0	0	3	42	1	0	0	0	10
Jaron Brown	Ari	KC	0	0	0	0	0	0	0	0	0	0	2	48	1	0	0	0	10
Allen Hurns	Jac	Hou	0	0	0	0	0	0	0	0	0	0	5	36	1	0	0	0	9
Pierre Garcon	Was	Stl	0	0	0	0	0	0	0	0	0	0	9	95	0	0	0	0	9
Wes Welker	Den	Buf	0	0	0	0	0	0	0	0	0	0	6	82	0	0	0	0	8
Jeremy Maclin	Phi	Sea	0	0	0	0	0	0	0	0	0	0	3	21	1	0	0	0	8
Michael Floyd	Ari	KC	0	0	0	0	0	0	0	0	0	0	4	85	0	0	0	0	8
Eric Decker	NYJ	@Min	0	0	0	0	0	0	0	0	0	0	6	89	0	0	0	0	8
Dez Bryant	Dal	@Chi	0	0	0	0	0	0	0	0	0	0	6	82	0	0	0	0	8
