   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Drew Brees	NO	@Chi	36	29	375	3	0	0	3	2	0	0	0	0	0	0	0	0	33
Eli Manning	NYG	Was	34	23	250	3	0	0	0	0	0	0	0	0	0	0	0	0	28
Tony Romo	Dal	@Phi	31	22	265	3	0	0	4	-1	0	0	0	0	0	0	1	0	27
Alex Smith	KC	Oak	30	18	297	2	0	0	3	17	0	0	0	0	0	0	0	0	24
Matt Ryan	Atl	Pit	37	26	310	2	1	0	3	27	0	0	0	0	0	0	0	0	24
Tom Brady	NE	Mia	35	21	287	2	1	0	3	18	0	0	0	0	0	0	0	0	22
Andrew Luck	Ind	Hou	34	18	187	2	1	0	8	18	0	0	0	0	0	0	0	0	18
Robert Griffin III	Was	@NYG	27	18	236	1	0	0	5	46	0	0	0	0	0	0	1	0	18
Derek Anderson	Car	TB	40	25	277	1	0	0	5	14	0	0	0	0	0	0	0	0	18
Ryan Tannehill	Mia	@NE	47	29	346	1	2	0	3	21	0	0	0	0	0	0	0	0	17
Jay Cutler	Chi	NO	31	17	194	2	3	1	1	20	0	0	0	0	0	0	0	0	17
Teddy Bridgewater	Min	@Det	41	31	315	1	2	0	3	30	0	0	0	0	0	0	0	0	17
Josh McCown	TB	@Car	28	13	154	1	1	0	2	21	1	0	0	0	0	0	2	0	16
Peyton Manning	Den	@SD	20	14	233	1	0	0	3	-3	0	0	0	0	0	0	0	0	15
Geno Smith	NYJ	@Ten	28	16	179	1	0	0	4	16	0	0	0	0	0	0	0	0	14
Ben Roethlisberger	Pit	@Atl	35	27	360	0	0	0	2	-2	0	0	0	0	0	0	0	0	14
Joe Flacco	Bal	Jac	30	20	221	1	0	0	4	8	0	0	0	0	0	0	0	0	14
Derek Carr	Oak	@KC	56	27	222	1	0	0	1	0	0	0	0	0	0	0	1	0	13
Russell Wilson	Sea	SF	24	12	168	1	1	0	5	27	0	0	0	0	0	0	0	0	12
Matthew Stafford	Det	Min	28	17	153	1	0	0	1	2	0	0	0	0	0	0	0	0	12
Philip Rivers	SD	Den	41	24	232	1	2	0	1	3	0	0	0	0	0	0	0	0	11
Charlie Whitehurst	Ten	NYJ	24	10	203	0	0	0	2	9	0	0	0	10	0	0	0	0	9
Colin Kaepernick	SF	@Sea	19	11	141	0	0	0	9	46	0	0	0	0	0	0	0	0	9
Shaun Hill	Stl	Ari	39	20	229	0	1	0	3	11	0	0	0	0	0	0	0	0	8
Mark Sanchez	Phi	Dal	28	17	252	0	2	0	0	0	0	0	0	0	0	0	0	0	6
Blake Bortles	Jac	@Bal	37	21	210	0	1	0	1	2	0	0	0	0	0	0	0	0	6
Aaron Rodgers	GB	@Buf	42	17	185	0	2	0	3	27	0	0	0	0	0	0	0	0	5
Drew Stanton	Ari	@Stl	20	12	109	0	0	0	2	3	0	0	0	0	0	0	0	0	4
Kyle Orton	Buf	GB	27	14	158	0	1	0	3	-4	0	0	0	0	0	0	0	0	4
Colt McCoy	Was	@NYG	7	4	39	0	0	0	2	24	0	0	0	0	0	0	0	0	3
Tom Savage	Hou	@Ind	19	10	127	0	1	0	4	-4	0	0	0	0	0	0	1	0	2
Jake Locker	Ten	NYJ	11	6	57	0	0	0	2	7	0	0	0	0	0	0	0	0	2
Ryan Fitzpatrick	Hou	@Ind	6	3	30	0	0	0	3	16	0	0	0	0	0	0	0	0	2
Andy Dalton	Cin	@Cle	24	14	117	0	1	0	2	3	0	0	0	0	0	0	0	0	2
Ryan Lindley	Ari	@Stl	10	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1
