   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jeremy Hill	Cin	@Cle	0	0	0	0	0	0	25	148	2	0	1	4	0	0	0	0	26
Le'Veon Bell	Pit	@Atl	0	0	0	0	0	0	20	47	2	0	5	72	0	0	0	0	23
DeMarco Murray	Dal	@Phi	0	0	0	0	0	0	31	81	2	0	1	3	0	0	0	0	20
Knile Davis	KC	Oak	0	0	0	0	0	0	9	11	1	0	1	70	1	0	0	0	20
Eddie Lacy	GB	@Buf	0	0	0	0	0	0	15	97	1	0	2	11	0	0	0	0	16
Marshawn Lynch	Sea	SF	0	0	0	0	0	0	21	91	1	0	1	7	0	0	0	0	15
Matt Asiata	Min	@Det	0	0	0	0	0	0	11	36	1	0	7	50	0	0	0	0	14
Chris Polk	Phi	Dal	0	0	0	0	0	0	2	6	2	0	0	0	0	0	0	0	12
Mark Ingram	NO	@Chi	0	0	0	0	0	0	17	59	1	0	0	0	0	0	0	0	11
Arian Foster	Hou	@Ind	0	0	0	0	0	0	26	99	0	0	3	18	0	0	0	0	10
Joique Bell	Det	Min	0	0	0	0	0	0	15	62	0	0	4	41	0	0	0	0	10
Chris Thompson	Was	@NYG	0	0	0	0	0	0	3	12	0	0	3	22	1	0	0	0	9
Pierre Thomas	NO	@Chi	0	0	0	0	0	0	2	11	0	0	5	83	0	0	0	0	9
Doug Martin	TB	@Car	0	0	0	0	0	0	14	96	0	0	1	3	0	0	0	0	9
Fred Jackson	Buf	GB	0	0	0	0	0	0	20	71	0	0	3	27	0	0	0	0	9
Matt Forte	Chi	NO	0	0	0	0	0	0	16	78	0	0	2	21	0	0	0	0	9
Giovani Bernard	Cin	@Cle	0	0	0	0	0	0	15	79	0	0	3	24	0	0	0	0	9
C.J. Anderson	Den	@SD	0	0	0	0	0	0	29	85	0	0	2	11	0	0	0	0	9
Kerwynn Williams	Ari	@Stl	0	0	0	0	0	0	15	75	0	0	2	11	0	0	0	0	8
Chris Ivory	NYJ	@Ten	0	0	0	0	0	0	12	25	1	0	1	1	0	0	0	0	8
Frank Gore	SF	@Sea	0	0	0	0	0	0	11	29	1	0	0	0	0	0	0	0	8
Shane Vereen	NE	Mia	0	0	0	0	0	0	6	5	1	0	1	12	0	0	0	0	7
Charles Sims	TB	@Car	0	0	0	0	0	0	7	34	0	0	3	45	0	0	0	0	7
Dan Herron	Ind	Hou	0	0	0	0	0	0	11	60	0	0	2	12	0	0	0	0	7
Rex Burkhead	Cin	@Cle	0	0	0	0	0	0	3	14	1	0	0	0	0	0	0	0	7
LeGarrette Blount	NE	Mia	0	0	0	0	0	0	8	17	1	0	2	7	0	0	0	0	7
Stepfan Taylor	Ari	@Stl	0	0	0	0	0	0	14	61	0	0	0	0	0	0	0	0	6
Jonathan Stewart	Car	TB	0	0	0	0	0	0	22	75	0	0	1	6	0	0	1	0	6
Darren Sproles	Phi	Dal	0	0	0	0	0	0	3	5	1	0	2	8	0	0	0	0	6
Silas Redd	Was	@NYG	0	0	0	0	0	0	1	1	0	0	3	62	0	0	0	0	6
Branden Oliver	SD	Den	0	0	0	0	0	0	12	26	0	0	4	44	0	0	0	0	6
Latavius Murray	Oak	@KC	0	0	0	0	0	0	12	59	0	0	2	17	0	0	0	0	6
LeSean McCoy	Phi	Dal	0	0	0	0	0	0	16	64	0	0	1	1	0	0	0	0	6
Shonn Greene	Ten	NYJ	0	0	0	0	0	0	16	50	0	0	1	13	0	0	0	0	6
Jonas Gray	NE	Mia	0	0	0	0	0	0	11	62	0	0	1	7	0	0	0	0	6
John Conner	NYJ	@Ten	0	0	0	0	0	0	1	0	0	0	1	9	1	0	0	0	6
Bryce Brown	Buf	GB	0	0	0	0	0	0	4	20	0	0	1	40	0	0	0	0	6
Lamar Miller	Mia	@NE	0	0	0	0	0	0	16	47	0	0	1	10	0	0	0	0	5
Chris Johnson	NYJ	@Ten	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	5
Steven Jackson	Atl	Pit	0	0	0	0	0	0	11	46	0	0	1	11	0	0	0	0	5
Carlos Hyde	SF	@Sea	0	0	0	0	0	0	6	55	0	0	0	0	0	0	0	0	5
Toby Gerhart	Jac	@Bal	0	0	0	0	0	0	13	54	0	0	2	9	0	0	0	0	5
Jamaal Charles	KC	Oak	0	0	0	0	0	0	12	52	0	0	1	1	0	0	0	0	5
Andre Williams	NYG	Was	0	0	0	0	0	0	18	44	0	0	1	9	0	0	0	0	4
Alfred Morris	Was	@NYG	0	0	0	0	0	0	14	49	0	0	0	0	0	0	0	0	4
Justin Forsett	Bal	Jac	0	0	0	0	0	0	16	48	0	0	1	-1	0	0	0	0	4
Donald Brown	SD	Den	0	0	0	0	0	0	5	18	0	0	4	38	0	0	0	0	4
Robert Turbin	Sea	SF	0	0	0	0	0	0	5	33	0	0	0	0	0	0	0	0	3
Trent Richardson	Ind	Hou	0	0	0	0	0	0	9	32	0	0	2	9	0	0	0	0	3
Bernard Pierce	Bal	Jac	0	0	0	0	0	0	6	37	0	0	0	0	0	0	0	0	3
Ka'Deem Carey	Chi	NO	0	0	0	0	0	0	1	4	0	0	3	39	0	0	0	0	3
Terrance West	Cle	Cin	0	0	0	0	0	0	5	23	0	0	0	0	0	0	0	0	2
Daniel Thomas	Mia	@NE	0	0	0	0	0	0	2	5	0	0	2	20	0	0	0	0	2
James Starks	GB	@Buf	0	0	0	0	0	0	4	19	0	0	1	10	0	0	0	0	2
Khiry Robinson	NO	@Chi	0	0	0	0	0	0	3	10	0	0	2	10	0	0	0	0	2
Tre Mason	Stl	Ari	0	0	0	0	0	0	13	33	0	0	0	0	0	0	1	0	2
Devonta Freeman	Atl	Pit	0	0	0	0	0	0	4	21	0	0	1	9	0	0	0	0	2
Lance Dunbar	Dal	@Phi	0	0	0	0	0	0	5	22	0	0	1	6	0	0	0	0	2
Anthony Dixon	Buf	GB	0	0	0	0	0	0	6	26	0	0	1	5	0	0	0	0	2
Benny Cunningham	Stl	Ari	0	0	0	0	0	0	2	4	0	0	3	23	0	0	0	0	2
Isaiah Crowell	Cle	Cin	0	0	0	0	0	0	7	17	0	0	2	10	0	0	0	0	2
Alfred Blue	Hou	@Ind	0	0	0	0	0	0	8	26	0	0	0	0	0	0	0	0	2
Fozzy Whittaker	Car	TB	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	1
Jordan Todman	Jac	@Bal	0	0	0	0	0	0	3	7	0	0	1	19	0	0	0	0	1
Juwan Thompson	Den	@SD	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	1
De'Anthony Thomas	KC	Oak	0	0	0	0	0	0	2	14	0	0	1	5	0	0	0	0	1
Will Ta'ufo'ou	Jac	@Bal	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	1
Jeremy Stewart	Den	@SD	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	1
Bishop Sankey	Ten	NYJ	0	0	0	0	0	0	3	8	0	0	1	18	0	0	0	0	1
Jacquizz Rodgers	Atl	Pit	0	0	0	0	0	0	2	3	0	0	1	12	0	0	0	0	1
Joseph Randle	Dal	@Phi	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	1
Bilal Powell	NYJ	@Ten	0	0	0	0	0	0	1	8	0	0	2	10	0	0	0	0	1
Darren McFadden	Oak	@KC	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	1
Dexter McCluster	Ten	NYJ	0	0	0	0	0	0	5	15	0	0	2	8	0	0	0	0	1
Storm Johnson	Jac	@Bal	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	1
Reggie Bush	Det	Min	0	0	0	0	0	0	3	7	0	0	1	10	0	0	0	0	1
