   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Odell Beckham	NYG	Was	0	0	0	0	0	0	1	0	0	0	12	143	3	0	1	0	31
Dez Bryant	Dal	@Phi	0	0	0	0	0	0	0	0	0	0	6	114	3	0	0	0	29
Demaryius Thomas	Den	@SD	0	0	0	0	0	0	0	0	0	0	6	123	1	0	0	0	18
Mike Wallace	Mia	@NE	0	0	0	0	0	0	1	0	0	0	5	104	1	0	0	0	16
Julian Edelman	NE	Mia	0	0	0	0	0	0	1	6	0	0	7	88	1	0	0	0	14
Alshon Jeffery	Chi	NO	0	0	0	0	0	0	0	0	0	0	4	78	1	0	0	0	13
Harry Douglas	Atl	Pit	0	0	0	0	0	0	0	0	0	0	10	131	0	0	0	0	13
Marques Colston	NO	@Chi	0	0	0	0	0	0	0	0	0	0	5	65	1	0	0	0	12
Antonio Brown	Pit	@Atl	0	0	0	0	0	0	0	0	0	0	10	123	0	0	0	0	12
Roddy White	Atl	Pit	0	0	0	0	0	0	0	0	0	0	7	58	1	0	0	0	11
James Jones	Oak	@KC	0	0	0	0	0	0	0	0	0	0	8	57	1	0	0	0	11
Nate Washington	Ten	NYJ	0	0	0	0	0	0	0	0	0	0	6	102	0	0	0	0	10
Hakeem Nicks	Ind	Hou	0	0	0	0	0	0	0	0	0	0	2	44	1	0	0	0	10
Greg Jennings	Min	@Det	0	0	0	0	0	0	0	0	0	0	3	43	1	0	0	0	10
Eric Decker	NYJ	@Ten	0	0	0	0	0	0	0	0	0	0	7	100	0	0	0	0	10
Jerricho Cotchery	Car	TB	0	0	0	0	0	0	0	0	0	0	5	47	1	0	0	0	10
Randall Cobb	GB	@Buf	0	0	0	0	0	0	2	15	0	0	7	96	0	0	0	0	10
Kelvin Benjamin	Car	TB	0	0	0	0	0	0	0	0	0	0	8	104	0	0	0	0	10
Golden Tate	Det	Min	0	0	0	0	0	0	2	5	0	0	7	38	1	0	0	0	9
Paul Richardson	Sea	SF	0	0	0	0	0	0	0	0	0	0	3	30	1	0	0	0	9
Jeremy Maclin	Phi	Dal	0	0	0	0	0	0	0	0	0	0	4	98	0	0	0	0	9
Jarvis Landry	Mia	@NE	0	0	0	0	0	0	0	0	0	0	8	99	0	0	0	0	9
Andre Roberts	Was	@NYG	0	0	0	0	0	0	0	0	0	0	2	81	0	0	0	0	8
Stedman Bailey	Stl	Ari	0	0	0	0	0	0	1	13	0	0	5	74	0	0	0	0	8
Marquess Wilson	Chi	NO	0	0	0	0	0	0	0	0	0	0	3	16	1	0	0	0	7
Cecil Shorts	Jac	@Bal	0	0	0	0	0	0	0	0	0	0	6	76	0	0	0	0	7
