  Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Marshawn Lynch	Sea	@Ari	0	0	0	0	0	0	10	113	2	0	0	0	0	0	0	0	23
Frank Gore	SF	SD	0	0	0	0	0	0	26	158	1	0	0	0	0	0	0	0	21
Lamar Miller	Mia	Min	0	0	0	0	0	0	19	92	1	0	5	58	0	0	0	0	20
Matt Asiata	Min	@Mia	0	0	0	0	0	0	16	58	2	1	3	19	0	0	0	0	20
Jeremy Hill	Cin	Den	0	0	0	0	0	0	22	147	1	0	0	0	0	0	1	0	19
C.J. Anderson	Den	@Cin	0	0	0	0	0	0	18	83	1	0	8	55	0	0	0	0	19
Jonathan Stewart	Car	Cle	0	0	0	0	0	0	24	122	0	0	2	7	1	0	0	0	18
Arian Foster	Hou	Bal	1	1	5	1	0	0	25	96	0	0	1	23	0	0	0	0	17
LeSean McCoy	Phi	@Was	0	0	0	0	0	0	22	88	1	0	3	28	0	0	0	0	16
Eddie Lacy	GB	@TB	0	0	0	0	0	0	17	99	1	0	1	5	0	0	0	0	15
Matt Forte	Chi	Det	0	0	0	0	0	0	19	55	0	0	6	40	1	0	0	0	15
Reggie Bush	Det	@Chi	0	0	0	0	0	0	7	54	1	0	6	44	0	0	0	0	15
Alfred Morris	Was	Phi	0	0	0	0	0	0	21	83	1	0	0	0	0	0	0	0	14
Joique Bell	Det	@Chi	0	0	0	0	0	0	13	74	1	0	2	13	0	0	0	0	14
Leon Washington	Ten	@Jac	0	0	0	0	0	0	4	11	0	0	7	62	1	0	0	0	13
Jordan Todman	Jac	Ten	0	0	0	0	0	0	5	71	1	0	2	5	0	0	0	0	13
Tre Mason	Stl	NYG	0	0	0	0	0	0	13	76	1	0	1	7	0	0	0	0	13
Devonta Freeman	Atl	@NO	0	0	0	0	0	0	5	36	1	0	3	48	0	0	0	0	13
Giovani Bernard	Cin	Den	0	0	0	0	0	0	8	36	0	0	5	45	1	0	0	0	13
Darrel Young	Was	Phi	0	0	0	0	0	0	2	2	2	0	1	3	0	0	0	0	12
Damien Williams	Mia	Min	0	0	0	0	0	0	3	18	0	0	6	50	1	0	0	0	12
Le'Veon Bell	Pit	KC	0	0	0	0	0	0	20	63	1	0	1	9	0	0	0	0	12
Andre Williams	NYG	@Stl	0	0	0	0	0	0	26	110	0	0	0	0	0	0	0	0	11
DeMarco Murray	Dal	Ind	0	0	0	0	0	0	22	58	1	0	0	0	0	0	0	0	11
Toby Gerhart	Jac	Ten	0	0	0	0	0	0	12	53	1	0	1	7	0	0	0	0	11
Latavius Murray	Oak	Buf	0	0	0	0	0	0	23	86	0	0	3	22	0	0	0	0	10
Fred Jackson	Buf	@Oak	0	0	0	0	0	0	6	10	0	0	9	93	0	0	0	0	10
Mark Ingram	NO	Atl	0	0	0	0	0	0	13	38	1	0	3	17	0	0	0	0	10
Orleans Darkwa	NYG	@Stl	0	0	0	0	0	0	4	21	1	0	2	17	0	0	0	0	9
Zurlon Tipton	Ind	@Dal	0	0	0	0	0	0	1	-3	0	0	4	23	1	0	0	0	8
Branden Oliver	SD	@SF	0	0	0	0	0	0	13	53	0	0	3	28	0	0	0	0	7
Darren Sproles	Phi	@Was	0	0	0	0	0	0	4	24	0	0	6	43	0	0	0	0	6
Jamize Olawale	Oak	Buf	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Jonas Gray	NE	@NYJ	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	6
Darren McFadden	Oak	Buf	0	0	0	0	0	0	9	54	0	0	1	0	0	0	0	0	5
Chris Ivory	NYJ	NE	0	0	0	0	0	0	11	53	0	0	0	0	0	0	0	0	5
Isaiah Crowell	Cle	@Car	0	0	0	0	0	0	16	55	0	0	0	0	0	0	0	0	5
Jamaal Charles	KC	@Pit	0	0	0	0	0	0	9	29	0	0	5	48	0	0	1	0	5
Shane Vereen	NE	@NYJ	0	0	0	0	0	0	6	38	0	0	1	12	0	0	0	0	4
De'Anthony Thomas	KC	@Pit	0	0	0	0	0	0	1	-6	0	0	6	47	0	0	0	0	4
Bishop Sankey	Ten	@Jac	0	0	0	0	0	0	14	44	0	0	1	9	0	0	0	0	4
Robert Turbin	Sea	@Ari	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	3
Fitzgerald Toussaint	Bal	@Hou	0	0	0	0	0	0	4	11	0	0	2	20	0	0	0	0	3
Stepfan Taylor	Ari	Sea	0	0	0	0	0	0	11	19	0	0	2	25	0	0	0	0	3
Charles Sims	TB	GB	0	0	0	0	0	0	4	-1	0	0	3	30	0	0	0	0	3
Bilal Powell	NYJ	NE	0	0	0	0	0	0	5	21	0	0	2	13	0	0	0	0	3
Chris Johnson	NYJ	NE	0	0	0	0	0	0	10	30	0	0	1	3	0	0	0	0	3
Dan Herron	Ind	@Dal	0	0	0	0	0	0	7	3	0	0	3	37	0	0	0	0	3
Ronnie Brown	SD	@SF	0	0	0	0	0	0	7	33	0	0	1	9	0	0	0	0	3
Brandon Bolden	NE	@NYJ	0	0	0	0	0	0	5	32	0	0	0	0	0	0	0	0	3
Pierre Thomas	NO	Atl	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	2
James Starks	GB	@TB	0	0	0	0	0	0	7	3	0	0	4	22	0	0	0	0	2
Jacquizz Rodgers	Atl	@NO	0	0	0	0	0	0	11	29	0	0	1	3	0	0	0	0	2
Joseph Randle	Dal	Ind	0	0	0	0	0	0	13	37	0	0	1	7	0	0	1	0	2
Christine Michael	Sea	@Ari	0	0	0	0	0	0	8	28	0	0	0	0	0	0	0	0	2
John Kuhn	GB	@TB	0	0	0	0	0	0	4	22	0	0	0	0	0	0	0	0	2
Shonn Greene	Ten	@Jac	0	0	0	0	0	0	7	28	0	0	0	0	0	0	0	0	2
Justin Forsett	Bal	@Hou	0	0	0	0	0	0	10	19	0	0	4	13	0	0	0	0	2
John Conner	NYJ	NE	0	0	0	0	0	0	1	2	0	0	1	26	0	0	0	0	2
Joe Banyard	Min	@Mia	0	0	0	0	0	0	5	23	0	0	2	9	0	0	0	0	2
Mike Tolbert	Car	Cle	0	0	0	0	0	0	7	19	0	0	0	0	0	0	0	0	1
C.J. Spiller	Buf	@Oak	0	0	0	0	0	0	4	-4	0	0	4	14	0	0	0	0	1
Alfonso Smith	SF	SD	0	0	0	0	0	0	2	14	0	0	2	9	0	0	0	0	1
Theo Riddick	Det	@Chi	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	1
Doug Martin	TB	GB	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0	0	1
Steven Jackson	Atl	@NO	0	0	0	0	0	0	4	9	0	0	1	14	0	0	0	0	1
MarQueis Gray	Buf	@Oak	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Lance Dunbar	Dal	Ind	0	0	0	0	0	0	2	4	0	0	2	10	0	0	0	0	1
Donald Brown	SD	@SF	0	0	0	0	0	0	4	12	0	0	1	4	0	0	0	0	1
