  Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Luke Willson	Sea	@Ari	0	0	0	0	0	0	0	0	0	0	3	139	2	0	0	0	25
Antonio Gates	SD	@SF	0	0	0	0	0	0	0	0	0	0	7	92	2	0	0	0	21
Jason Witten	Dal	Ind	0	0	0	0	0	0	0	0	0	0	7	90	1	0	0	0	15
Jordan Cameron	Cle	@Car	0	0	0	0	0	0	0	0	0	0	3	88	1	0	0	0	14
Jermaine Gresham	Cin	Den	0	0	0	0	0	0	0	0	0	0	9	62	1	0	0	0	12
Zach Ertz	Phi	@Was	0	0	0	0	0	0	0	0	0	0	15	115	0	0	0	0	11
Charles Clay	Mia	Min	0	0	0	0	0	0	0	0	0	0	6	114	0	0	0	0	11
Jimmy Graham	NO	Atl	0	0	0	0	0	0	0	0	0	0	6	53	1	0	1	0	10
Dion Sims	Mia	Min	0	0	0	0	0	0	0	0	0	0	3	35	1	0	0	0	9
Lance Kendricks	Stl	NYG	0	0	0	0	0	0	0	0	0	0	2	35	1	0	0	0	9
Rob Gronkowski	NE	@NYJ	0	0	0	0	0	0	0	0	0	0	6	31	1	0	0	0	9
Scott Chandler	Buf	@Oak	0	0	0	0	0	0	0	0	0	0	4	37	1	0	0	0	9
C.J. Fiedorowicz	Hou	Bal	0	0	0	0	0	0	0	0	0	0	2	12	1	0	0	0	7
Heath Miller	Pit	KC	0	0	0	0	0	0	0	0	0	0	7	68	0	0	0	0	6
Marcedes Lewis	Jac	Ten	0	0	0	0	0	0	0	0	0	0	2	6	1	0	0	0	6
Delanie Walker	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	4	54	0	0	0	0	5
Rhett Ellison	Min	@Mia	0	0	0	0	0	0	0	0	0	0	2	47	0	0	0	0	4
Larry Donnell	NYG	@Stl	0	0	0	0	0	0	0	0	0	0	4	42	0	0	0	0	4
Ed Dickson	Car	Cle	0	0	0	0	0	0	0	0	0	0	2	44	0	0	0	0	4
Jared Cook	Stl	NYG	0	0	0	0	0	0	0	0	0	0	5	41	0	0	0	0	4
Julius Thomas	Den	@Cin	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Travis Kelce	KC	@Pit	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	3
Coby Fleener	Ind	@Dal	0	0	0	0	0	0	0	0	0	0	4	36	0	0	0	0	3
Greg Olsen	Car	Cle	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	2
Ryan Griffin	Hou	Bal	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Chase Ford	Min	@Mia	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	2
Darren Fells	Ari	Sea	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	2
Daniel Fells	NYG	@Stl	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Jack Doyle	Ind	@Dal	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Levine Toilolo	Atl	@NO	0	0	0	0	0	0	0	0	0	0	4	17	0	0	0	0	1
Richard Rodgers	GB	@TB	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Andrew Quarless	GB	@TB	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	1
Rob Housler	Ari	Sea	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Chase Coffman	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Brent Celek	Phi	@Was	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
John Carlson	Ari	Sea	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
