
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Darren Sproles	Phi	@Ind	0	0	0	0	0	0	4	26	1	0	7	152	0	0	0	0	23
Giovani Bernard	Cin	Atl	0	0	0	0	0	0	27	90	1	0	5	79	0	0	0	0	22
DeMarco Murray	Dal	@Ten	0	0	0	0	0	0	29	167	1	0	1	6	0	0	1	0	21
Knile Davis	KC	@Den	0	0	0	0	0	0	22	79	2	0	6	26	0	0	0	0	21
Ahmad Bradshaw	Ind	Phi	0	0	0	0	0	0	13	70	0	0	5	26	2	0	0	0	21
Alfred Morris	Was	Jac	0	0	0	0	0	0	22	85	2	0	0	0	0	0	0	0	20
Arian Foster	Hou	@Oak	0	0	0	0	0	0	28	138	1	0	2	12	0	0	0	0	20
Bobby Rainey	TB	Stl	0	0	0	0	0	0	22	144	0	0	3	30	0	0	0	0	17
Stevan Ridley	NE	@Min	0	0	0	0	0	0	25	101	1	0	0	0	0	0	0	0	16
Mark Ingram	NO	@Cle	0	0	0	0	0	0	11	83	1	0	3	21	0	0	0	0	16
LeSean McCoy	Phi	@Ind	0	0	0	0	0	0	19	79	1	0	4	23	0	0	0	0	15
Jeremy Hill	Cin	Atl	0	0	0	0	0	0	15	74	1	0	2	22	0	0	0	0	15
Terrance West	Cle	NO	0	0	0	0	0	0	19	68	1	0	2	22	0	0	0	0	14
Frank Gore	SF	Chi	0	0	0	0	0	0	13	63	1	0	2	12	0	0	0	0	13
Matt Asiata	Min	NE	0	0	0	0	0	0	13	36	0	0	5	48	1	0	0	0	13
Zac Stacy	Stl	@TB	0	0	0	0	0	0	19	71	1	0	0	0	0	0	1	0	12
Darren McFadden	Oak	Hou	0	0	0	0	0	0	12	37	1	0	2	31	0	0	0	0	12
Jonathan Stewart	Car	Det	0	0	0	0	0	0	15	37	1	0	1	22	0	0	0	0	11
Marshawn Lynch	Sea	@SD	0	0	0	0	0	0	6	36	0	0	4	27	1	0	0	0	11
Silas Redd	Was	Jac	0	0	0	0	0	0	8	41	1	0	0	0	0	0	0	0	10
Chris Ivory	NYJ	@GB	0	0	0	0	0	0	13	44	1	0	1	3	0	0	0	0	10
Andre Ellington	Ari	@NYG	0	0	0	0	0	0	15	91	0	0	1	10	0	0	0	0	10
Robert Turbin	Sea	@SD	0	0	0	0	0	0	2	7	0	0	2	35	1	0	0	0	9
Bernard Pierce	Bal	Pit	0	0	0	0	0	0	22	96	0	0	1	7	0	0	0	0	9
Rashad Jennings	NYG	Ari	0	0	0	0	0	0	18	64	0	0	4	45	0	0	1	0	9
Jonathan Dwyer	Ari	@NYG	0	0	0	0	0	0	9	31	1	0	0	0	0	0	0	0	9
Le'Veon Bell	Pit	@Bal	0	0	0	0	0	0	11	59	0	0	5	48	0	0	0	0	9
Darrel Young	Was	Jac	0	0	0	0	0	0	0	0	0	0	2	27	1	0	0	0	8
Joique Bell	Det	@Car	0	0	0	0	0	0	10	36	0	0	6	61	0	0	1	0	8
Montee Ball	Den	KC	0	0	0	0	0	0	12	60	0	0	3	29	0	0	0	0	8
Trent Richardson	Ind	Phi	0	0	0	0	0	0	21	79	0	0	1	16	0	0	1	0	7
C.J. Spiller	Buf	Mia	0	0	0	0	0	0	12	69	0	0	1	9	0	0	0	0	6
Justin Forsett	Bal	Pit	0	0	0	0	0	0	8	56	0	0	4	16	0	0	0	0	6
Danny Woodhead	SD	Sea	0	0	0	0	0	0	8	32	0	0	4	28	0	0	0	0	5
Ryan Mathews	SD	Sea	0	0	0	0	0	0	11	31	0	0	2	26	0	0	0	0	5
Eddie Lacy	GB	NYJ	0	0	0	0	0	0	13	43	0	0	2	18	0	0	0	0	5
Isaiah Crowell	Cle	NO	0	0	0	0	0	0	11	54	0	0	1	3	0	0	0	0	5
Shane Vereen	NE	@Min	0	0	0	0	0	0	6	40	0	0	0	0	0	0	0	0	4
Bilal Powell	NYJ	@GB	0	0	0	0	0	0	4	16	0	0	2	32	0	0	0	0	4
Lamar Miller	Mia	@Buf	0	0	0	0	0	0	11	46	0	0	2	7	0	0	0	0	4
Steven Jackson	Atl	@Cin	0	0	0	0	0	0	11	46	0	0	1	7	0	0	0	0	4
Fred Jackson	Buf	Mia	0	0	0	0	0	0	12	24	0	0	2	27	0	0	0	0	4
Shonn Greene	Ten	Dal	0	0	0	0	0	0	5	40	0	0	0	0	0	0	0	0	4
Alfred Blue	Hou	@Oak	0	0	0	0	0	0	11	40	0	0	0	0	0	0	0	0	4
Mike Tolbert	Car	Det	0	0	0	0	0	0	4	-5	0	0	3	33	0	0	0	0	3
Dexter McCluster	Ten	Dal	0	0	0	0	0	0	4	30	0	0	1	9	0	0	0	0	3
Roy Helu	Was	Jac	0	0	0	0	0	0	8	25	0	0	2	11	0	0	0	0	3
Matt Forte	Chi	@SF	0	0	0	0	0	0	12	21	0	0	5	15	0	0	0	0	3
Orleans Darkwa	Mia	@Buf	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Donald Brown	SD	Sea	0	0	0	0	0	0	7	21	0	0	3	10	0	0	0	0	3
Tommy Bohanon	NYJ	@GB	0	0	0	0	0	0	1	3	0	0	2	30	0	0	0	0	3
C.J. Anderson	Den	KC	0	0	0	0	0	0	5	31	0	0	0	0	0	0	0	0	3
