
Team	Opp	Sack	Int	Saf	FR	Blk	TD	PA	PassYds	RushYds	TotYds	Pts
Green Bay Packers	Min	6.0	2	0	1	0	1	10	188	111	299	25
Philadelphia Eagles	Stl	4.0	0	0	3	1	2	28	341	125	466	24
Carolina Panthers	Chi	4.0	2	0	2	0	1	24	262	85	347	19
Pittsburgh Steelers	@Jac	1.0	2	0	0	0	1	9	187	56	243	18
Indianapolis Colts	Bal	4.0	1	0	2	0	0	13	197	90	287	17
New England Patriots	Cin	1.0	0	0	3	0	1	17	241	79	320	17
San Diego Chargers	NYJ	2.0	1	0	1	0	0	0	60	91	151	16
Buffalo Bills	@Det	6.0	1	0	1	0	0	14	204	69	273	14
Detroit Lions	Buf	2.0	1	0	0	0	1	17	294	49	343	14
Baltimore Ravens	@Ind	1.0	2	0	2	0	0	20	305	127	432	13
Tampa Bay Buccaneers	@NO	0.0	3	0	0	0	1	37	371	140	511	12
Houston Texans	@Dal	1.0	1	0	2	0	0	20	316	140	456	11
Jacksonville Jaguars	Pit	4.0	0	0	1	0	0	17	261	111	372	10
Chicago Bears	@Car	2.0	1	0	2	0	0	31	231	91	322	8
Cleveland Browns	@Ten	3.0	0	1	0	1	0	28	261	149	410	7
Denver Broncos	Ari	3.0	0	0	0	0	0	20	178	37	215	7
New York Giants	Atl	1.0	1	0	0	0	0	20	307	90	397	7
Dallas Cowboys	Hou	0.0	1	0	0	0	0	17	154	176	330	6
San Francisco 49ers	KC	0.0	1	0	0	0	0	17	158	107	265	6
St. Louis Rams	@Phi	0.0	1	0	2	0	0	34	207	145	352	6
Arizona Cardinals	@Den	1.0	2	0	0	0	0	41	476	92	568	5
Atlanta Falcons	@NYG	1.0	0	0	2	0	0	30	193	124	317	5
New Orleans Saints	TB	1.0	1	1	0	0	0	31	248	66	314	5
New York Jets	@SD	3.0	1	0	0	0	0	31	277	162	439	5
Seattle Seahawks	@Was	1.0	0	0	0	0	0	17	275	32	307	5
Kansas City Chiefs	@SF	3.0	0	0	0	0	0	22	186	171	357	4
Minnesota Vikings	@GB	2.0	1	0	0	0	0	42	164	156	320	4
Washington Redskins	Sea	3.0	0	0	0	0	0	27	178	225	403	4
Tennessee Titans	Cle	1.0	1	0	0	0	0	29	284	176	460	3
Cincinnati Bengals	@NE	1.0	0	0	0	0	0	43	285	220	505	1
