   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Greg Olsen	Car	Chi	0	0	0	0	0	0	0	0	0	0	6	72	2	0	0	0	19
Julius Thomas	Den	Ari	0	0	0	0	0	0	0	0	0	0	6	66	2	0	0	0	18
Antonio Gates	SD	NYJ	0	0	0	0	0	0	0	0	0	0	4	60	2	0	0	0	18
Rob Gronkowski	NE	Cin	0	0	0	0	0	0	0	0	0	0	6	100	1	0	0	0	16
Dwayne Allen	Ind	Bal	0	0	0	0	0	0	0	0	0	0	4	59	1	0	0	0	11
Jim Dray	Cle	@Ten	0	0	0	0	0	0	0	0	0	0	3	25	1	0	0	0	8
Travis Kelce	KC	@SF	0	0	0	0	0	0	0	0	0	0	2	15	1	0	0	0	7
Owen Daniels	Bal	@Ind	0	0	0	0	0	0	0	0	0	0	5	70	0	0	0	0	7
Michael Palmer	Pit	@Jac	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Chris Gragg	Buf	@Det	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	6
Jason Witten	Dal	Hou	0	0	0	0	0	0	0	0	0	0	4	59	0	0	0	0	5
Josh Hill	NO	TB	0	0	0	0	0	0	0	0	0	0	3	53	0	0	0	0	5
Ben Watson	NO	TB	0	0	0	0	0	0	0	0	0	0	5	43	0	0	0	0	4
Delanie Walker	Ten	Cle	0	0	0	0	0	0	0	0	0	0	4	47	0	0	0	0	4
Heath Miller	Pit	@Jac	0	0	0	0	0	0	0	0	0	0	3	46	0	0	0	0	4
Jared Cook	Stl	@Phi	0	0	0	0	0	0	0	0	0	0	4	44	0	0	0	0	4
Cooper Helfet	Sea	@Was	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	3
Jimmy Graham	NO	TB	0	0	0	0	0	0	0	0	0	0	2	36	0	0	0	0	3
Chase Ford	Min	@GB	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Coby Fleener	Ind	Bal	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	3
Anthony Fasano	KC	@SF	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	3
Zach Ertz	Phi	Stl	0	0	0	0	0	0	0	0	0	0	3	39	0	0	0	0	3
Jordan Cameron	Cle	@Ten	0	0	0	0	0	0	0	0	0	0	3	33	0	0	0	0	3
Luke Willson	Sea	@Was	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	2
Dante Rosario	Chi	@Car	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	2
Lance Kendricks	Stl	@Phi	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	2
Clay Harbor	Jac	Pit	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	0	2
Scott Chandler	Buf	@Det	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	2
Jacob Tamme	Den	Ari	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1
Austin Seferian-Jenkins	TB	@NO	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Andrew Quarless	GB	Min	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Brandon Pettigrew	Det	Buf	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	1
Logan Paulsen	Was	Sea	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Jermaine Gresham	Cin	@NE	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Rhett Ellison	Min	@GB	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Ed Dickson	Car	Chi	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Chase Coffman	Ten	Cle	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Brent Celek	Phi	Stl	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	1
John Carlson	Ari	@Den	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Martellus Bennett	Chi	@Car	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	0	1
Jace Amaro	NYJ	@SD	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	1
