
Team	Opp	Sack	Int	Saf	FR	Blk	TD	PA	PassYds	RushYds	TotYds	Pts*
Miami Dolphins	@Jac	4.0	2	0	1	1	2	13	201	176	377	31
Kansas City Chiefs	Stl	7.0	1	0	0	0	1	7	116	84	200	22
Minnesota Vikings	@TB	5.0	1	0	1	0	1	13	159	66	225	22
Buffalo Bills	@NYJ	4.0	4	0	2	0	0	23	137	175	312	17
Cleveland Browns	Oak	4.0	1	0	2	0	0	13	311	76	387	17
New England Patriots	Chi	3.0	1	0	1	0	1	23	231	153	384	14
Pittsburgh Steelers	Ind	2.0	2	1	0	0	1	34	385	63	448	14
Seattle Seahawks	@Car	3.0	1	0	1	0	0	9	152	114	266	14
Washington Redskins	@Dal	5.0	0	0	2	0	0	17	224	171	395	13
Carolina Panthers	Sea	1.0	1	0	1	0	0	13	191	119	310	12
New Orleans Saints	GB	4.0	2	0	1	0	0	23	402	89	491	11
Arizona Cardinals	Phi	0.0	2	0	1	0	0	20	411	110	521	10
Houston Texans	@Ten	2.0	1	0	1	0	0	16	290	36	326	10
Dallas Cowboys	Was	3.0	1	0	0	0	0	20	286	123	409	9
Baltimore Ravens	@Cin	2.0	1	0	1	0	0	27	239	111	350	7
Denver Broncos	SD	2.0	2	0	0	0	0	21	245	61	306	7
Cincinnati Bengals	Bal	1.0	2	0	0	0	0	24	187	107	294	6
Jacksonville Jaguars	Mia	3.0	1	0	0	0	0	27	178	148	326	6
Detroit Lions	@Atl	2.0	1	0	0	0	0	21	213	78	291	5
Tampa Bay Buccaneers	Min	1.0	0	0	0	0	0	19	235	97	332	5
Tennessee Titans	Hou	5.0	0	0	0	0	0	30	193	212	405	5
Green Bay Packers	@NO	2.0	0	0	1	0	0	44	302	193	495	4
Indianapolis Colts	@Pit	0.0	0	0	2	0	0	51	522	117	639	4
New York Jets	Buf	4.0	0	0	0	0	0	43	213	67	280	4
St. Louis Rams	@KC	2.0	0	0	1	0	0	34	215	140	355	4
Atlanta Falcons	Det	0.0	1	0	0	0	0	22	325	60	385	3
Philadelphia Eagles	@Ari	0.0	0	0	1	0	0	24	329	71	400	3
Oakland Raiders	@Cle	1.0	0	0	0	0	0	23	267	39	306	2
Chicago Bears	@NE	1.0	0	0	0	0	0	51	365	122	487	1
San Diego Chargers	@Den	0.0	0	0	0	0	0	35	286	139	425	0
