
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Ben Roethlisberger	Pit	Ind	49	40	522	6	0	0	1	-1	0	0	0	0	0	0	0	0	56
Tom Brady	NE	Chi	35	30	354	5	0	0	2	0	0	0	0	0	0	0	0	0	44
Kyle Orton	Buf	@NYJ	17	10	238	4	0	0	2	6	0	0	0	0	0	0	0	0	33
Andrew Luck	Ind	@Pit	45	26	400	3	2	0	3	26	0	0	0	0	0	0	0	0	32
Drew Brees	NO	GB	32	27	311	3	0	0	1	6	0	0	0	0	0	0	0	0	30
Peyton Manning	Den	SD	35	25	286	3	0	0	1	0	0	0	0	0	0	0	0	0	29
Jay Cutler	Chi	@NE	30	20	227	3	1	2	1	6	0	0	0	0	0	0	1	0	28
Aaron Rodgers	GB	@NO	39	28	418	1	2	0	2	21	1	0	0	0	0	0	0	0	26
Philip Rivers	SD	@Den	41	30	252	3	2	0	1	17	0	0	0	0	0	0	0	0	25
Carson Palmer	Ari	Phi	42	20	329	2	0	0	0	0	0	0	0	0	0	0	0	0	25
Nick Foles	Phi	@Ari	62	36	411	2	2	0	2	14	0	0	0	0	0	0	0	0	25
Matthew Stafford	Det	@Atl	47	24	325	2	1	0	3	9	0	0	0	0	0	0	0	0	23
Zach Mettenberger	Ten	Hou	41	27	299	2	1	0	1	-1	0	0	0	0	0	0	1	0	20
Andy Dalton	Cin	Bal	28	21	266	0	1	0	6	14	2	0	0	0	0	0	1	0	20
Matt Ryan	Atl	Det	27	20	228	2	1	0	1	6	0	0	0	0	0	0	0	0	19
Derek Carr	Oak	@Cle	54	34	328	1	0	0	1	2	0	0	0	0	0	0	1	0	18
Brian Hoyer	Cle	Oak	28	19	275	1	0	0	2	1	0	0	0	0	0	0	0	0	17
Colt McCoy	Was	@Dal	30	25	299	0	1	0	7	16	1	0	0	0	0	0	0	0	16
Ryan Fitzpatrick	Hou	@Ten	35	19	227	1	0	0	4	12	0	0	0	0	0	0	0	0	16
Ryan Tannehill	Mia	@Jac	29	16	196	1	1	0	5	48	0	0	0	0	0	0	0	0	15
Teddy Bridgewater	Min	@TB	42	24	241	1	0	0	1	3	0	0	0	0	0	0	0	0	15
Russell Wilson	Sea	@Car	32	20	199	1	1	0	6	35	0	0	0	0	0	0	0	0	14
Tony Romo	Dal	Was	28	17	209	1	0	0	1	1	0	0	0	0	0	0	0	0	14
Blake Bortles	Jac	Mia	34	18	221	1	2	0	6	48	0	0	0	0	0	0	1	0	13
Mike Glennon	TB	Min	28	19	171	1	1	0	3	13	0	0	0	0	0	0	0	0	11
Alex Smith	KC	Stl	29	25	223	0	0	0	3	24	0	0	0	0	0	0	0	0	10
Austin Davis	Stl	@KC	25	15	160	1	1	0	1	1	0	0	0	0	0	0	0	0	10
Brandon Weeden	Dal	Was	6	4	69	1	0	0	1	0	0	0	0	0	0	0	0	0	8
Michael Vick	NYJ	Buf	36	18	153	0	1	0	8	69	0	0	0	0	0	0	2	0	8
Cam Newton	Car	Sea	22	12	171	0	1	0	12	24	0	0	0	0	0	0	1	0	5
Joe Flacco	Bal	@Cin	34	17	195	0	2	0	2	12	0	0	0	0	0	0	0	0	4
